Prod	ProductCode	LTD
IF	IF1005	20100519
IF	IF1006	20100611
IF	IF1007	20100714
IF	IF1008	20100818
IF	IF1009	20100915
IF	IF1010	20101013
IF	IF1011	20101117
IF	IF1012	20101215
IF	IF1101	20110119
IF	IF1102	20110216
IF	IF1103	20110316
IF	IF1104	20110413
IF	IF1105	20110516
IF	IF1106	20110615
IF	IF1107	20110713
IF	IF1108	20110815
IF	IF1109	20110914
IF	IF1110	20111018
IF	IF1111	20111115
IF	IF1112	20111214
IF	IF1201	20120117
IF	IF1202	20120214
IF	IF1203	20120313
IF	IF1204	20120417
IF	IF1205	20120515
IF	IF1206	20120614
IF	IF1207	20120717
IF	IF1208	20120814
IF	IF1209	20120918
IF	IF1210	20121017
IF	IF1211	20121114
IF	IF1212	20121217
IF	IF1301	20130115
IF	IF1302	20130208
IF	IF1303	20130313
IF	IF1304	20130417
IF	IF1305	20130514
IF	IF1306	20130614
IF	IF1307	20130717
IF	IF1308	20130813
IF	IF1309	20130917
IF	IF1310	20131017
IF	IF1311	20131113
IF	IF1312	20131218
IF	IF1401	20140115
IF	IF1402	20140218
IF	IF1403	20140319
IF	IF1404	20140416
IF	IF1405	20140514
IF	IF1406	20140619
IF	IF1407	20140717
jm	jm1309	20130624
jm	jm1401	20131021
jm	jm1405	20140227
jm	jm1409	20140715
j	j1109	20110817
j	j1201	20111206
j	j1205	20120410
j	j1209	20120717
j	j1301	20121022
j	j1305	20130131
j	j1309	20130619
j	j1401	20131021
j	j1405	20140307
j	j1409	20140721
y	y1009	20100415
y	y1101	20100802
y	y1105	20101022
y	y1109	20110407
y	y1201	20110708
y	y1205	20111207
y	y1209	20120524
y	y1301	20121015
y	y1305	20130114
y	y1309	20130613
y	y1401	20131014
y	y1405	20140224
y	y1409	20140612
p	p1009	20100420
p	p1101	20100823
p	p1105	20101028
p	p1109	20110411
p	p1201	20110714
p	p1205	20120104
p	p1209	20120530
p	p1301	20121017
p	p1305	20130121
p	p1309	20130604
p	p1401	20131014
p	p1405	20140224
p	p1409	20140616
rb	rb1005	20100226
rb	rb1010	20100728
rb	rb1101	20101008
rb	rb1105	20110121
rb	rb1110	20110725
rb	rb1201	20111101
rb	rb1205	20120224
rb	rb1210	20120709
rb	rb1301	20121018
rb	rb1305	20130205
rb	rb1310	20130626
rb	rb1401	20131018
rb	rb1405	20140228
rb	rb1410	20140702
au	au1006	20100408
au	au1012	20101021
au	au1106	20110413
au	au1112	20111025
au	au1206	20120406
au	au1212	20121031
au	au1306	20130422
au	au1312	20131119
au	au1406	20140513
ag	ag1209	20120720
ag	ag1212	20121031
ag	ag1301	20121231
ag	ag1306	20130531
ag	ag1312	20131127
ag	ag1406	20140513
ru	ru1005	20100226
ru	ru1009	20100610
ru	ru1011	20100727
ru	ru1101	20100909
ru	ru1103	20101021
ru	ru1105	20110317
ru	ru1109	20110701
ru	ru1201	20111114
ru	ru1205	20120330
ru	ru1209	20120723
ru	ru1301	20121031
ru	ru1305	20130208
ru	ru1309	20130620
ru	ru1401	20131029
ru	ru1405	20140221
ru	ru1409	20140710
m	m1009	20100409
m	m1101	20100716
m	m1105	20101015
m	m1109	20110216
m	m1201	20110706
m	m1205	20111208
m	m1209	20120419
m	m1301	20121031
m	m1305	20130130
m	m1309	20130529
m	m1401	20131031
m	m1405	20140213
m	m1409	20140513
l	l1005	20100324
l	l1009	20100728
l	l1101	20101109
l	l1105	20110321
l	l1109	20110714
l	l1201	20111108
l	l1205	20120313
l	l1209	20120713
l	l1301	20121031
l	l1305	20130205
l	l1309	20130627
l	l1401	20131112
l	l1405	20140306
l	l1409	20140723
SR	SR101	20100811
SR	SR105	20101029
SR	SR109	20110607
SR	SR201	20110906
SR	SR205	20111222
SR	SR209	20120521
SR	SR301	20121024
SR	SR305	20130117
SR	SR309	20130528
SR	SR401	20131031
SR	SR405	20140219
SR	SR409	20140610
CF	CF101	20100830
CF	CF105	20101123
CF	CF109	20110526
CF	CF201	20110802
CF	CF205	20120130
CF	CF209	20120521
CF	CF301	20121024
CF	CF305	20130128
CF	CF309	20130530
CF	CF401	20131008
CF	CF405	20140312
CF	CF409	20140325
TA	TA009	20100722
TA	TA101	20101027
TA	TA105	20110318
TA	TA109	20110628
TA	TA201	20111116
TA	TA205	20120312
TA	TA209	20120710
TA	TA301	20121031
TA	TA305	20130206
TA	TA309	20130625
TA	TA401	20131104
TA	TA405	20140303
TA	TA409	20140728
