Dir	Product	Exch	StartDate	EndDate	FixCost_Open	FixCost_Close	FixCost_CloseToday	FloatCost_Open	FloatCost_Close	FloatCost_CloseToday	MarginRatio	TickSize	LotSize	VolumeSide	MaxCancel	MaxDailyTrades	ChaseInterval(ms)
cu	cu1405	SHFE	20000101	20301231	0.0000000 	0.0000000 	0.0000000 	0.0000535 	0.0000535 	0.0000000 	0.100045	10	5	2	450	1000	100
al	al1405	SHFE	20000101	20301231	3.2100000 	3.2100000 	3.2100000 	0.0000000 	0.0000000 	0.0000000 	0.100045	5	5	2	450	1000	100
zn	zn1405	SHFE	20000101	20301231	3.2100000 	3.2100000 	3.2100000 	0.0000000 	0.0000000 	0.0000000 	0.100045	5	5	2	450	1000	100
ru	ru1405	SHFE	20000101	20301231	0.0000000 	0.0000000 	0.0000000 	0.0000482 	0.0000482 	0.0000482 	0.100045	5	10	2	450	1000	100
au	au1405	SHFE	20000101	20130624	10.7000000 	10.7000000 	0.0000000 	0.0000000 	0.0000000 	0.0000000 	0.100045	0.01	1000	2	450	1000	100
au	au1405	SHFE	20130625	20301231	10.7000000 	10.7000000 	0.0000000 	0.0000000 	0.0000000 	0.0000000 	0.100045	0.05	1000	2	450	1000	100
ag	ag1405	SHFE	20000101	20301231	0.0000000 	0.0000000 	0.0000000 	0.0000535 	0.0000535 	0.0000000 	0.100045	1	15	2	450	1000	100
rb	rb1405	SHFE	20000101	20301231	0.0000000 	0.0000000 	0.0000000 	0.0000482 	0.0000482 	0.0000482 	0.080048	1	10	2	450	1000	100
IF	IF1312	CFFEX	20000101	20301231	0.0000000 	0.0000000 	0.0000000 	0.0000268 	0.0000268 	0.0000268 	0.100027	0.2	300	1	450	1000	100
TF	TF1312	CFFEX	20000101	20301231	4.5100000 	4.5100000 	4.5100000 	0.0000000 	0.0000000 	0.0000000 	0.040027	0.002	10000	1	450	1000	100
IO	IO1407	CFFEX	20000101	20301231	5.5000000 	5.5000000 	5.5000000 	0.0000000 	0.0000000 	0.0000000 	0.150000	0.1	100	1	450	1000	150
i	i1401	DCE	20000101	20301231	0.0000000 	0.0000000 	0.0000000 	0.0000856 	0.0000856 	0.0000856 	0.1000848	1	100	2	450	1000	150
j	j1401	DCE	20000101	20301231	0.0000000 	0.0000000 	0.0000000 	0.0000856 	0.0000856 	0.0000428 	0.1000848	1	100	2	450	1000	150
jm	jm1401	DCE	20000101	20301231	0.0000000 	0.0000000 	0.0000000 	0.0001070 	0.0001070 	0.0000535 	0.100107	1	60	2	450	1000	150
m	m1401	DCE	20000101	20301231	2.1400000 	2.1400000 	2.1400000 	0.0000000 	0.0000000 	0.0000000 	0.1000848	1	10	2	450	1000	150
p	p1401	DCE	20000101	20301231	2.6700000 	2.6700000 	2.6700000 	0.0000000 	0.0000000 	0.0000000 	0.1000848	2	10	2	450	1000	150
y	y1401	DCE	20000101	20301231	2.6700000 	2.6700000 	2.6700000 	0.0000000 	0.0000000 	0.0000000 	0.1000848	2	10	2	450	1000	150

v	v1401	DCE	20000101	20301231	2.6700000 	2.6700000 	2.6700000	0.0000000 	0.0000000 	0.0000000 	0.1000848	5	5	2	450	1000	150
l	l1401	DCE	20000101	20301231	2.6700000 	2.6700000 	2.6700000	0.0000000 	0.0000000 	0.0000000 	0.1000848	5	5	2	450	1000	150
a	a1401	DCE	20000101	20301231	2.1400000 	2.1400000 	2.1400000	0.0000000 	0.0000000 	0.0000000 	0.1000848	1	10	2	450	1000	150
SR	SR401	ZCE	20000101	20301231	3.2100000 	3.2100000 	0.0000000 	0.0000000 	0.0000000 	0.0000000 	0.100025	1	10	2	450	1000	150
CF	CF401	ZCE	20000101	20301231	18.0000000 	18.0000000 	18.0000000 	0.0000000 	0.0000000 	0.0000000 	0.100025	5	5	2	450	1000	150
TA	TA401	ZCE	20000101	20301231	3.2100000 	3.2100000 	3.2100000 	0.0000000 	0.0000000 	0.0000000 	0.100025	2	5	2	450	1000	150

SZ	SZ000001	SSE	20000101	20301231	0.0000000	0.0000000	0.0000000	0.0013000	0.0003000	0.0003000	1.0000000	0.01	1	1	450	1000	150
SH	SH600000	SSE	20000101	20301231	0.0000000	0.0000000	0.0000000	0.0013000	0.0003000	0.0003000	1.0000000	0.01	1	1	450	1000	150
