Prod	ProductCode	PlanDate	DecisionDate	PDD	Cash	Stock	Increase	StockSum
SH	SH600000	20000328	20000509	20000706	0.15	0	0	0
SH	SH600000	20020321	20020629	20020822	0.2	0	0.5	0.5
SH	SH600000	20030331	20030430	20030623	0.1	0	0	0
SH	SH600000	20040227	20040331	20040520	0.11	0	0	0
SH	SH600000	20050226	20050428	20050512	0.12	0	0	0
SH	SH600000	20060302	20060410	20060525	0.13	0	0	0
SH	SH600000	20070324	20070523	20070718	0.15	0	0	0
SH	SH600000	20080228	20080320	20080424	0.16	0.3	0	0.3
SH	SH600000	20090410	20090506	20090609	0.23	0.4	0	0.4
SH	SH600000	20100407	20100429	20100610	0.15	0.3	0	0.3
SH	SH600000	20110330	20110429	20110603	0.16	0.3	0	0.3
SH	SH600000	20120316	20120614	20120626	0.3	0	0	0
SH	SH600000	20130314	20130517	20130603	0.55	0	0	0
SH	SH600000	20140320	20140527	20140624	0.66	0	0	0
SH	SH600004	20040424	20040603	20040713	0.1	0	0	0
SH	SH600004	20050429	20050601	20050715	0.25	0	0	0
SH	SH600004	20060425	20060531	20060721	0.1	0	0	0
SH	SH600004	20070327	20070630	20070823	0.15	0	0	0
SH	SH600004	20080430	20080621	20080805	0.18	0	0	0
SH	SH600004	20090310	20090620	20090806	0.17	0	0	0
SH	SH600004	20100313	20100626	20100819	0.26	0	0	0
SH	SH600004	20110312	20110629	20110817	0.3	0	0	0
SH	SH600004	20120315	20120626	20120725	0.35	0	0	0
SH	SH600004	20130425	20130628	20130726	0.33	0	0	0
SH	SH600005	20000229	20000701	20000808	0.25	0	0	0
SH	SH600005	20010405	20010512	20010601	0.28	0	0	0
SH	SH600005	20020226	20020427	20020603	0.28	0	0	0
SH	SH600005	20030401	20030517	20030609	0.05	0.2	0	0.2
SH	SH600005	20040227	20040403	20040422	0.23	0	0	0
SH	SH600005	20040827	20040930	20041018	0	0	1	1
SH	SH600005	20050329	20050430	20050523	0.25	0	0	0
SH	SH600005	20060425	20060519	20060609	0.3	0	0	0
SH	SH600005	20070416	20070511	20070626	0.3	0	0	0
SH	SH600005	20080422	20080516	20080623	0.38	0	0	0
SH	SH600005	20090420	20090518	20090623	0.22	0	0	0
SH	SH600005	20100427	20100524	20100623	0.1	0	0	0
SH	SH600005	20110425	20110520	20110623	0.1	0	0	0
SH	SH600005	20120424	20120521	20120625	0.05	0	0	0
SH	SH600005	20130427	20130522	20130621	0.01	0	0	0
SH	SH600005	20140429	20140522	20140627	0.02	0	0	0
SH	SH600006	20000322	20000426	20000626	0.1	0	0	0
SH	SH600006	20010306	20010419	20010613	0.2	0	0	0
SH	SH600006	20010813	20010929	20011030	0.05	0	0	0
SH	SH600006	20020307	20020409	20020522	0.2	0	0	0
SH	SH600006	20030306	20030411	20030602	0.2	0	0	0
SH	SH600006	20040326	20040429	20040611	0.2	0.3	0.7	1
SH	SH600006	20050301	20050510	20050628	0.075	0	0	0
SH	SH600006	20060324	20060519	20060620	0.08	0	0	0
SH	SH600006	20070330	20070607	20070719	0.12	0	0	0
SH	SH600006	20080329	20080527	20080623	0.15	0	0	0
SH	SH600006	20090327	20090519	20090622	0.09	0	0	0
SH	SH600006	20100327	20100430	20100621	0.06	0	0	0
SH	SH600006	20110326	20110427	20110621	0.12	0	0	0
SH	SH600006	20120327	20120426	20120618	0.05	0	0	0
SH	SH600006	20130326	20130424	20130617	0.0033	0	0	0
SH	SH600006	20140328	20140424	20140620	0.0076	0	0	0
SH	SH600007	19990410	19990513	19990629	0.104	0	0	0
SH	SH600007	20000329	20000519	20000714	0.125	0	0	0
SH	SH600007	20010322	20010526	20010717	0.104	0	0	0
SH	SH600007	20020316	20020517	20020619	0.104	0	0	0
SH	SH600007	20030322	20030424	20030612	0.104	0	0	0
SH	SH600007	20040320	20040423	20040611	0.155	0	0	0
SH	SH600007	20050323	20050426	20050616	0.195	0	0	0
SH	SH600007	20060325	20060427	20060616	0.2	0	0	0
SH	SH600007	20070331	20070512	20070621	0.12	0	0	0
SH	SH600007	20080319	20080409	20080526	0.15	0	0	0
SH	SH600007	20090321	20090418	20090609	0.15	0	0	0
SH	SH600007	20100327	20100417	20100531	0.14	0	0	0
SH	SH600007	20110324	20110414	20110530	0.09	0	0	0
SH	SH600007	20120324	20120414	20120530	0.13	0	0	0
SH	SH600007	20130323	20130417	20130604	0.16	0	0	0
SH	SH600007	20140409	20140430	20140626	0.17	0	0	0
SH	SH600008	20010420	20010522	20010601	0.334	0	0	0
SH	SH600008	20020301	20020403	20020430	0.36	0	0	0
SH	SH600008	20030225	20030329	20030429	0.35	0	0	0
SH	SH600008	20040302	20040407	20040601	0.315	0	0	0
SH	SH600008	20050408	20050519	20050617	0.12	0	1	1
SH	SH600008	20060329	20060519	20060602	0.18	0	0	0
SH	SH600008	20070425	20070517	20070604	0.17	0	0	0
SH	SH600008	20080410	20080505	20080620	0.16	0	0	0
SH	SH600008	20090327	20090418	20090507	0.11	0	0	0
SH	SH600008	20100320	20100416	20100504	0.12	0	0	0
SH	SH600008	20110408	20110513	20110531	0.13	0	0	0
SH	SH600008	20120420	20120515	20120601	0.13	0	0	0
SH	SH600008	20130417	20130509	20130523	0.15	0	0	0
SH	SH600008	20140410	20140507	20140521	0.15	0	0	0
SH	SH600009	19981027	19981128	19981203	0	0	0.5	0.5
SH	SH600009	20010329	20010519	20010629	0.293	0	0	0
SH	SH600009	20020328	20020619	20020726	0.15	0	0	0
SH	SH600009	20030329	20030701	20030811	0.199	0	0	0
SH	SH600009	20030823	20031216	20031226	0	0.3	0	0.3
SH	SH600009	20040327	20040630	20040722	0.096	0	0	0
